"tract","Name","Median_Hhold._Income_of_Residents_in_2012-16"
48113019301,"Park Cities, Dallas, TX",246886
24031705300,"Chevy Chase, MD",246886
51059460100,"Vienna, VA",208591
53033024100,"Clyde Hill, WA",196274
36119008401,"Harrison, NY",194158
48439113907,"Southlake, TX",185065
47037018602,"Otter Creek, Forest Hills, TN",175478
27053109800,"Southwest Minneapolis, Minneapolis, MN",102015
49049010216,"Lehi, UT",93684
24005430600,"Relay, Halethorpe, MD",91348
53061052707,"Marysville, WA",89157
6067009403,"Wilton, CA",77240
27025110100,"Rush City, MN",74549
18089042902,"Cedar Lake, IN",69896
17197884006,"Wilmington, IL",68430
32031003306,"Incline Village, NV",67688
47011011401,"Cleveland, TN",67364
27123042202,"Saint Paul, MN",65517
25017321200,"Marlborough, MA",64087
17031150700,"Portage Park, Chicago, IL",62802
26163582100,"Southgate, MI",60624
18087970600,"Wolcottville, IN",60266
36007012000,"Lisle, NY",57277
6059011101,"Fullerton, CA",55549
34001013201,"Ventnor City, NJ",53327
4025001702,"Sedona, AZ",52646
36081119100,"Queens County, NY",51914
17117956800,"Wilsonville, IL",49377
48113000401,"Dallas, TX",47702
36015010500,"Horseheads, NY",40054
48215021500,"Pharr, TX",31522
29510213900,,
42091205906,"King of Prussia, PA",89927
36103147803,"Sayville, NY",84831
12099007910,"West Palm Beach, FL",80023
53033021100,"Ridgecrest, Shoreline, WA",71017
45045001102,"Greenville, SC",70225
17031242900,"West Town, Chicago, IL",64471
15003009502,"Schofield Barracks, HI",59537
17137951900,"Jacksonville, IL",56482
36027150003,"Tivoli, NY",55467
26059050100,"Somerset Center, MI",53042
12086013200,"Hialeah, FL",52706
39087051402,"Proctorville, OH",52274
55067960300,"Antigo, WI",51105
17027900500,"Centralia, IL",50630
27111960600,"New York Mills, MN",50241
30105100500,"Glasgow, MT",49938
47037015627,"Antioch, Nashville, TN",48009
29183310502,"Saint Charles, MO",47896
37089930300,"Hendersonville, NC",47347
26125161100,"Southfield, MI",43139
6037402502,"Westmont, Pomona, CA",40266
51610451400,,
6085511701,"Los Altos Hills, CA",245651
17031800400,"Winnetka, IL",237010
24031700608,"Rockville, MD",236580
6085511702,"Country Club, Los Altos, CA",210572
51059482400,"Vienna, VA",203115
48201411400,"River Oaks, Houston, TX",197799
6013348000,"Lafayette, CA",179874
48121021749,"Flower Mound, TX",178868
11001000100,"Georgetown, Washington, DC",165105
36103135004,"Saint James, NY",162581
34023007911,"Matawan, NJ",156525
48113019400,"Park Cities, Dallas, TX",150376
17031071700,"Lincoln Park, Chicago, IL",144922
36047006700,"Kings County, NY",140703
36059300900,"Manhasset, NY",138108
9001042900,"Norwalk, CT",135941
36047004500,"Kings County, NY",134784
51087200130,"Glen Allen, VA",127318
36061008700,"Midtown, New York, NY",125599
31055007441,"West Omaha, Omaha, NE",123375
24009860300,"Sunderland, MD",122653
39049006600,"Columbus, OH",119821
29183311154,"O'Fallon, MO",119529
37183051600,"Raleigh, NC",117983
6037920045,"Santa Clarita, CA",115856
6013321102,"Pleasant Hill, CA",112819
39061023902,"Cincinnati, OH",112151
49035111304,"Cottonwood Heights, UT",111510
36059408900,"Levittown, NY",109994
51179010107,"Stafford, VA",109514
13117130306,"Cumming, GA",108373
25017383800,"Framingham, MA",107395
6111006600,"Thousand Oaks, CA",106221
6037408505,"Hacienda Heights, CA",106161
29189215201,"Creve Coeur, MO",105693
18057111003,"Carmel, IN",105403
26125128900,"Orion charter Township, MI",105386
36103158322,"Mount Sinai, NY",104011
48381021609,"Amarillo, TX",103757
8059009846,"Evergreen, CO",101822
6059075603,"Tustin, CA",101453
12085001602,"Jupiter, FL",100400
25023530902,"Plymouth, MA",100062
9009343102,"Cheshire Village, Cheshire, CT",99315
53061052004,"Mill Creek, WA",98692
25017383901,"Framingham, MA",98465
25017357100,"Belmont, MA",98342
24031700810,"Gaithersburg, MD",97137
8001009409,"North Central Westminster, Westminster, CO",97074
42003473402,"Mount Lebanon, PA",96622
49035111302,"Cottonwood Heights, UT",96305
48029181720,"Far West Side, San Antonio, TX",96131
32003003308,"Las Vegas, NV",95403
48139060209,"Red Oak, TX",94766
32031001104,"Reno, NV",94584
20173009507,"Wichita, KS",94297
6085503312,"Alum Rock, San Jose, CA",93731
55009020702,"De Pere, WI",93346
10003016804,"Townsend, DE",93193
37183054211,"Northhampton, Wake Forest, NC",93177
41067031904,"Bull Mountain, Tigard, OR",92942
37183053505,"Hillsdale Forest, Cary, NC",92884
23005003702,"Cape Elizabeth, ME",92860
48201253100,"Baytown, TX",91833
24003740305,"Odenton, MD",91501
36071013201,"Washingtonville, NY",91005
48041002011,"College Station, TX",90884
21059001601,"Owensboro, KY",90477
4013810500,"Chandler, AZ",89188
19163013702,"Riverdale, IA",89137
34019011900,"Lambertville, NJ",88834
6081608600,"Belmont, CA",88819
6075015200,"Lower Pacific Heights, San Francisco, CA",88326
34029717400,"Jackson, NJ",87881
6083001208,"East Mesa, Santa Barbara, CA",87536
17031805701,"Park Ridge, IL",86939
26163565000,"Canton, MI",86747
24037875901,"Lexington Park, MD",86155
24021751202,"Whittier, Frederick, MD",85735
39151711122,"North Canton, OH",85573
6001451602,"Livermore, CA",84854
12057011408,"Tampa, FL",84744
8035014005,"Parker, CO",84558
6013302008,"Oakley, CA",84531
6079010201,"Paso Robles, CA",84526
17043841114,"Bloomingdale, IL",82807
6097150304,"Sonoma, CA",82634
8031004302,"Hale, Denver, CO",82050
34025810300,"Englishtown, NJ",81942
8059010801,"Applewood, Lakewood, CO",81705
36119013500,"Ossining, NY",81129
55117010700,"Sheboygan, WI",80736
37025042501,"Concord, NC",80292
48439113626,"Bedford, TX",80177
17201004200,"Winnebago, IL",80167
53033010402,"Greater Duwamish, Seattle, WA",79923
42091210400,"Glenside, PA",79232
55101002701,"Waterford, WI",78034
31153010622,"La Vista, NE",77846
41005022707,"Wilsonville, OR",77556
36119002403,"Southeast Yonkers, Yonkers, NY",76819
36061003602,"Bowery, New York, NY",76809
13121010304,"Cliftondale, Atlanta, GA",76114
